% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3038	0	1	1	305	3	305	1	26	6	1	3	0	255	5	17	0	16	255	0
3042	0	1	1	305	7	305	1	26	6	1	31	0	255	5	17	0	16	255	0
3077	0	1	1	309	2	309	1	169	6	1	21	0	255	5	19	0	16	255	0
3078	0	1	1	309	3	309	1	169	6	1	49	0	255	5	19	0	16	255	0
3119	0	4	4	313	4	313	1	52	6	1	34	0	255	5	8	0	16	255	0
3120	0	3	3	313	5	313	1	151	6	1	46	0	255	5	41	0	16	255	0
3120	0	4	4	313	5	313	1	52	6	1	6	0	255	5	8	0	16	255	0
3123	0	3	3	313	8	313	1	151	6	1	18	0	255	5	41	0	16	255	0
3157	0	4	4	317	2	317	1	41	6	1	5	0	255	5	42	0	16	255	0
3159	0	3	3	317	4	317	1	123	6	1	15	0	255	5	33	0	16	255	0
3161	0	3	3	317	6	317	1	123	6	1	43	0	255	5	33	0	16	255	0
3163	0	4	4	317	8	317	1	41	6	1	33	0	255	5	42	0	16	255	0
3201	0	1	1	321	6	321	1	117	6	1	14	0	255	5	32	0	16	255	0
3202	0	1	1	321	7	321	1	117	6	1	42	0	255	5	32	0	16	255	0
3240	0	1	1	325	5	325	1	95	6	1	39	0	255	5	31	0	16	255	0
3243	0	1	1	325	8	325	1	95	6	1	11	0	255	5	31	0	16	255	0
3278	0	1	1	329	3	329	1	138	6	1	17	0	255	5	9	0	16	255	0
3279	0	3	3	329	4	329	1	31	6	1	31	0	255	5	0	0	16	255	0
3279	0	4	4	329	4	329	1	131	6	1	16	0	255	5	26	0	16	255	0
3282	0	1	1	329	7	329	1	138	6	1	45	0	255	5	9	0	16	255	0
3282	0	4	4	329	7	329	1	131	6	1	44	0	255	5	26	0	16	255	0
3283	0	3	3	329	8	329	1	31	6	1	3	0	255	5	0	0	16	255	0
3317	0	3	3	333	2	333	1	9	6	1	1	0	255	5	44	0	16	255	0
3319	0	3	3	333	4	333	1	9	6	1	29	0	255	5	44	0	16	255	0
3321	0	4	4	333	6	333	1	166	6	1	48	0	255	5	24	0	16	255	0
3322	0	4	4	333	7	333	1	166	6	1	20	0	255	5	24	0	16	255	0
