% time	cellId	IMSI	RNTI	resPscch	sizeTb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	correct
3042	0	2	1	26	6	0	255	5	17	0	16	255	1
3042	0	3	1	26	6	0	255	5	17	0	16	255	1
3042	0	4	1	26	6	0	255	5	17	0	16	255	1
3046	0	2	1	26	6	0	255	5	17	0	16	255	1
3046	0	3	1	26	6	0	255	5	17	0	16	255	1
3046	0	4	1	26	6	0	255	5	17	0	16	255	1
3081	0	2	1	169	6	0	255	5	19	0	16	255	1
3081	0	3	1	169	6	0	255	5	19	0	16	255	1
3081	0	4	1	169	6	0	255	5	19	0	16	255	1
3082	0	2	1	169	6	0	255	5	19	0	16	255	1
3082	0	3	1	169	6	0	255	5	19	0	16	255	1
3082	0	4	1	169	6	0	255	5	19	0	16	255	1
3123	0	1	4	52	6	0	255	5	8	0	16	255	1
3123	0	2	4	52	6	0	255	5	8	0	16	255	1
3123	0	3	4	52	6	0	255	5	8	0	16	255	1
3124	0	1	4	52	6	0	255	5	8	0	16	255	1
3124	0	1	3	151	6	0	255	5	41	0	16	255	1
3124	0	2	3	151	6	0	255	5	41	0	16	255	1
3124	0	2	4	52	6	0	255	5	8	0	16	255	1
3127	0	1	3	151	6	0	255	5	41	0	16	255	1
3127	0	2	3	151	6	0	255	5	41	0	16	255	1
3127	0	4	3	151	6	0	255	5	41	0	16	255	1
3161	0	1	4	41	6	0	255	5	42	0	16	255	1
3161	0	2	4	41	6	0	255	5	42	0	16	255	1
3161	0	3	4	41	6	0	255	5	42	0	16	255	1
3163	0	1	3	123	6	0	255	5	33	0	16	255	1
3163	0	2	3	123	6	0	255	5	33	0	16	255	1
3163	0	4	3	123	6	0	255	5	33	0	16	255	1
3165	0	1	3	123	6	0	255	5	33	0	16	255	1
3165	0	2	3	123	6	0	255	5	33	0	16	255	1
3165	0	4	3	123	6	0	255	5	33	0	16	255	1
3167	0	1	4	41	6	0	255	5	42	0	16	255	1
3167	0	2	4	41	6	0	255	5	42	0	16	255	1
3167	0	3	4	41	6	0	255	5	42	0	16	255	1
3205	0	2	1	117	6	0	255	5	32	0	16	255	1
3205	0	3	1	117	6	0	255	5	32	0	16	255	1
3205	0	4	1	117	6	0	255	5	32	0	16	255	1
3206	0	2	1	117	6	0	255	5	32	0	16	255	1
3206	0	3	1	117	6	0	255	5	32	0	16	255	1
3206	0	4	1	117	6	0	255	5	32	0	16	255	1
3244	0	2	1	95	6	0	255	5	31	0	16	255	1
3244	0	3	1	95	6	0	255	5	31	0	16	255	1
3244	0	4	1	95	6	0	255	5	31	0	16	255	1
3247	0	2	1	95	6	0	255	5	31	0	16	255	1
3247	0	3	1	95	6	0	255	5	31	0	16	255	1
3247	0	4	1	95	6	0	255	5	31	0	16	255	1
3282	0	2	1	138	6	0	255	5	9	0	16	255	1
3282	0	3	1	138	6	0	255	5	9	0	16	255	1
3282	0	4	1	138	6	0	255	5	9	0	16	255	1
3283	0	1	4	131	6	0	255	5	26	0	16	255	1
3283	0	1	3	31	6	0	255	5	0	0	16	255	1
3283	0	2	3	31	6	0	255	5	0	0	16	255	1
3283	0	2	4	131	6	0	255	5	26	0	16	255	1
3286	0	2	4	131	6	0	255	5	26	0	16	255	1
3286	0	2	1	138	6	0	255	5	9	0	16	255	1
3286	0	3	4	131	6	0	255	5	26	0	16	255	1
3286	0	3	1	138	6	0	255	5	9	0	16	255	1
3287	0	1	3	31	6	0	255	5	0	0	16	255	1
3287	0	2	3	31	6	0	255	5	0	0	16	255	1
3287	0	4	3	31	6	0	255	5	0	0	16	255	1
3321	0	1	3	9	6	0	255	5	44	0	16	255	1
3321	0	2	3	9	6	0	255	5	44	0	16	255	1
3321	0	4	3	9	6	0	255	5	44	0	16	255	1
3323	0	1	3	9	6	0	255	5	44	0	16	255	1
3323	0	2	3	9	6	0	255	5	44	0	16	255	1
3323	0	4	3	9	6	0	255	5	44	0	16	255	1
3325	0	1	4	166	6	0	255	5	24	0	16	255	1
3325	0	2	4	166	6	0	255	5	24	0	16	255	1
3325	0	3	4	166	6	0	255	5	24	0	16	255	1
3326	0	1	4	166	6	0	255	5	24	0	16	255	1
3326	0	2	4	166	6	0	255	5	24	0	16	255	1
3326	0	3	4	166	6	0	255	5	24	0	16	255	1
