% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3048	0	2	1	0	16	193	0	1	1	103504
3048	0	3	1	0	16	193	0	1	1	1.07544e+06
3056	0	2	1	0	16	193	1	0	1	103504
3056	0	3	1	0	16	193	1	0	1	1.07544e+06
3064	0	2	1	0	16	193	2	0	1	103504
3064	0	3	1	0	16	193	2	0	1	1.07544e+06
3072	0	2	1	0	16	193	3	0	1	103504
3072	0	3	1	0	16	193	3	0	1	1.07544e+06
3088	0	2	1	0	16	193	0	1	1	103504
3088	0	3	1	0	16	193	0	1	1	1.07544e+06
3096	0	2	1	0	16	193	1	0	1	103504
3096	0	3	1	0	16	193	1	0	1	1.07544e+06
3104	0	2	1	0	16	193	2	0	1	103504
3104	0	3	1	0	16	193	2	0	1	1.07544e+06
3112	0	2	1	0	16	193	3	0	1	103504
3112	0	3	1	0	16	193	3	0	1	1.07544e+06
4048	0	1	3	0	16	193	0	1	1	1.07544e+06
4048	0	2	3	0	16	193	0	1	1	1.07544e+06
4056	0	1	3	0	16	193	1	0	1	1.07544e+06
4056	0	2	3	0	16	193	1	0	1	1.07544e+06
4064	0	1	3	0	16	193	2	0	1	1.07544e+06
4064	0	2	3	0	16	193	2	0	1	1.07544e+06
4072	0	1	3	0	16	193	3	0	1	1.07544e+06
4072	0	2	3	0	16	193	3	0	1	1.07544e+06
4088	0	1	3	0	16	193	0	1	1	1.07544e+06
4088	0	2	3	0	16	193	0	1	1	1.07544e+06
4096	0	1	3	0	16	193	1	0	1	1.07544e+06
4096	0	2	3	0	16	193	1	0	1	1.07544e+06
4104	0	1	3	0	16	193	2	0	1	1.07544e+06
4104	0	2	3	0	16	193	2	0	1	1.07544e+06
4112	0	1	3	0	16	193	3	0	1	1.07544e+06
4112	0	2	3	0	16	193	3	0	1	1.07544e+06
