% time	cellId	IMSI	RNTI	currFr	currSf	scPrdStartFr	scPrdStartSf	psschRbLen	psschStartRb	mcs	sizeTb	rv	dropped
3044	0	1	1	305	9	305	1	5	17	16	193	0	0
3052	0	1	1	306	7	305	1	5	17	16	193	1	0
3060	0	1	1	307	5	305	1	5	17	16	193	2	0
3068	0	1	1	308	3	305	1	5	17	16	193	3	0
3084	0	1	1	309	9	309	1	5	19	16	193	0	0
3092	0	1	1	310	7	309	1	5	19	16	193	1	0
3100	0	1	1	311	5	309	1	5	19	16	193	2	0
3108	0	1	1	312	3	309	1	5	19	16	193	3	0
3124	0	3	3	313	9	313	1	5	41	16	193	0	0
3124	0	4	4	313	9	313	1	5	8	16	193	0	0
3132	0	3	3	314	7	313	1	5	41	16	193	1	0
3132	0	4	4	314	7	313	1	5	8	16	193	1	0
3140	0	3	3	315	5	313	1	5	41	16	193	2	0
3140	0	4	4	315	5	313	1	5	8	16	193	2	0
3148	0	3	3	316	3	313	1	5	41	16	193	3	0
3148	0	4	4	316	3	313	1	5	8	16	193	3	0
3164	0	3	3	317	9	317	1	5	33	16	193	0	0
3164	0	4	4	317	9	317	1	5	42	16	193	0	0
3172	0	3	3	318	7	317	1	5	33	16	193	1	0
3172	0	4	4	318	7	317	1	5	42	16	193	1	0
3180	0	3	3	319	5	317	1	5	33	16	193	2	0
3180	0	4	4	319	5	317	1	5	42	16	193	2	0
3188	0	3	3	320	3	317	1	5	33	16	193	3	0
3188	0	4	4	320	3	317	1	5	42	16	193	3	0
3204	0	1	1	321	9	321	1	5	32	16	193	0	0
3212	0	1	1	322	7	321	1	5	32	16	193	1	0
3220	0	1	1	323	5	321	1	5	32	16	193	2	0
3228	0	1	1	324	3	321	1	5	32	16	193	3	0
3244	0	1	1	325	9	325	1	5	31	16	193	0	0
3252	0	1	1	326	7	325	1	5	31	16	193	1	0
3260	0	1	1	327	5	325	1	5	31	16	193	2	0
3268	0	1	1	328	3	325	1	5	31	16	193	3	0
3284	0	1	1	329	9	329	1	5	9	16	193	0	0
3284	0	3	3	329	9	329	1	5	0	16	193	0	0
3284	0	4	4	329	9	329	1	5	26	16	193	0	0
3292	0	1	1	330	7	329	1	5	9	16	193	1	0
3292	0	3	3	330	7	329	1	5	0	16	193	1	0
3292	0	4	4	330	7	329	1	5	26	16	193	1	0
3300	0	1	1	331	5	329	1	5	9	16	193	2	0
3300	0	3	3	331	5	329	1	5	0	16	193	2	0
3300	0	4	4	331	5	329	1	5	26	16	193	2	0
3308	0	1	1	332	3	329	1	5	9	16	193	3	0
3308	0	3	3	332	3	329	1	5	0	16	193	3	0
3308	0	4	4	332	3	329	1	5	26	16	193	3	0
3324	0	3	3	333	9	333	1	5	44	16	193	0	0
3324	0	4	4	333	9	333	1	5	24	16	193	0	0
3332	0	3	3	334	7	333	1	5	44	16	193	1	0
3332	0	4	4	334	7	333	1	5	24	16	193	1	0
3340	0	3	3	335	5	333	1	5	44	16	193	2	0
3340	0	4	4	335	5	333	1	5	24	16	193	2	0
3348	0	3	3	336	3	333	1	5	44	16	193	3	0
3348	0	4	4	336	3	333	1	5	24	16	193	3	0
